Quasar,ra,dec,redshift,redshift_reference,m1450,Mabs1450,redshift_mgii,redshift_mgii_err,redshift_mgii_ref,fwhm_mgii,fwhm_mgii_err_up,fwhm_mgii_err_low,L3000,L3000err_up,L3000err_low,BHmass,BHmass_reference
J154509.90+163631.94,236.291247,16.608873,5.82,Banados2016,20.82,-25.82,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J154552.08+602824.00,236.467013,60.473332,5.78,Wang2016,19.04,-27.59,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J154825.40+005015.50,237.105833,0.837639,6.15,Wang2019b,21.11,-25.62,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J155000.93+431802.80,237.503875,43.300778,5.84,Matsuoka2018b,23.79,-22.86,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J155524.25-065351.59,238.851033,-6.897663,5.88,Banados2022template,20.65,-26.01,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J155850.99-072409.59,239.712461,-7.402664,6.1102,Eilers2020erratum,19.32,-27.4,6.112,0.001,Farina2022,3611,135,150,5.9,0.073786,0.083495,22.94,Farina2022
J155909.09+221214.43,239.787883,22.204009,6.07,Wang2017,20.88,-25.83,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J160253.98+422824.90,240.72491,42.473583,6.079,Shen2019,19.83,-26.88,6.0827,0.0052,Shen2019,3594.3,185.9,185.9,3.605517,0.016706,0.016706,17.77,Shen2019
J160349.07+551032.30,240.954458,55.175639,6.04,Kashikawa2015,24.12,-22.58,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J160552.07+555340.61,241.466958,55.894614,5.409,Shin2020,20.65,-25.88,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J160937.28+304147.73,242.40532,30.696591,6.146,Shen2019,20.41,-26.32,6.1456,0.0055,Shen2019,5856.7,338.1,338.1,1.181865,0.009008,0.009008,27.01,Shen2019
J160945.53-125854.11,242.43971,-12.981697,5.83,Banados2016,19.78,-26.87,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J160953.03+532821.00,242.470958,53.4725,6.92,Matsuoka2019a,24.17,-22.75,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J161207.12+555919.20,243.029667,55.988667,6.78,Matsuoka2019a,23.87,-23.02,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J161425.13+464028.94,243.604723,46.674706,5.316,Lyke2020,19.72,-26.78,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J161435.36+011444.80,243.647317,1.245777,5.78,Yang2019a,19.74,-26.89,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J161819.77+552654.00,244.582375,55.448333,5.91,Matsuoka2019a,22.41,-24.26,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J162015.28-001152.30,245.063677,-0.19786,5.68,Banados2016,21.39,-25.22,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J162100.92+515548.79,245.25383,51.93022,5.71,Jiang2016,19.54,-27.07,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J162331.81+311200.50,245.88254,31.200138,6.2605,Wang2011,20.26,-26.5,6.2544,0.0056,Shen2019,3684.6,181.4,181.4,2.561741,0.021084,0.021084,15.74,Shen2019
J162911.30+240739.74,247.297081,24.127706,6.476,Mazzucchelli2017,20.28,-26.53,6.476,0.004,Mazzucchelli2017,1975,312,288,3.4,0.1,1.5,5.21,Mazzucchelli2017
J163033.90+401209.60,247.64125,40.202666,6.063,Shen2019,20.57,-26.14,6.0656,0.0066,Shen2019,4655.2,506.1,506.1,1.375349,0.010512,0.010512,18.41,Shen2019
J163752.18+024158.40,249.467406,2.699555,5.76,Wenzl2021,19.54,-27.09,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J164121.64+375520.50,250.34016,37.922361,6.047,Willott2010b,21.09,-25.62,6.047,0.003,Willott2010b,1740,190,190,1.2,0.13,0.13,2.4,Willott2010b
J164854.53+460327.40,252.227208,46.057611,5.36,Caccianiga2019,19.51,-27,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J165042.26+161721.50,252.67608,16.289307,5.52,Yang2019a,19.31,-27.25,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J165051.75+545701.38,252.715642,54.950382,6.06,Gloudemans2022,20.15,-26.56,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J165333.84-761426.23,253.391012,-76.24062,5.41,Onken2022,18.2,-28.33,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J165635.47+454113.53,254.147806,45.687091,5.34,Wang2016,18.94,-27.57,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J165902.12+270935.10,254.758824,27.15975,5.306,Lyke2020,18.86,-27.64,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J170245.31+130102.24,255.688797,13.017288,5.466,Khorunzhev2021,20.81,-25.73,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J172408.74+190143.12,261.036428,19.028645,6.48,Yang2021,21.12,-25.7,6.48,0.001,Yang2021,2704,62,62,1.631068,0.252427,0.252427,6.76,Yang2021
J172429.93+371821.78,261.124702,37.306051,5.76,Banados2022,21.03,-25.6,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J174343.15+412450.21,265.929804,41.413948,6.0263,Eilers2020,20.76,-25.94,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J174800.51+224652.38,267.002116,22.781216,5.95,Banados2016,21.04,-25.64,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J180546.93+491824.20,271.445555,49.306722,5.74,Banados2022,20.38,-26.24,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J184520.68+534547.23,281.336151,53.763119,6.18,Banados2022,20.09,-26.65,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J191435.45+631452.54,288.647671,63.247929,5.96,Banados2022,20.64,-26.04,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J192600.92-314202.60,291.503833,-31.700722,5.35,Onken2022,18.83,-27.68,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J193207.62+713908.46,293.031771,71.652349,6.05,Banados2016,19.85,-26.86,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J200241.59-301321.69,300.673308,-30.222692,6.6876,Yang2021,19.96,-26.91,6.673,0.001,Yang2021,3598,351,351,2.990291,0.368932,0.368932,16.22,Yang2021
J202524.31-044921.90,306.351275,-4.822745,5.84,Banados2022,20.71,-25.94,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J203103.26-051145.21,307.763576,-5.195888,5.8,Banados2022,20.86,-25.78,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J203209.99-211402.31,308.04164,-21.233975,6.2355,Venemans2020,20.46,-26.29,6.216,0.006,Farina2022,3355,203,361,4.24,0.036893,0.036893,16.79,Farina2022
J203355.91-273854.60,308.48297,-27.6485,5.8,Banados2016,19.91,-26.73,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J203721.26-453747.50,309.3385833,-45.6298611,5.636,Yue2021,20.6,-25.99,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J203721.27-453748.80,309.338625,-45.6302222,5.643,Yue2021,20.18,-26.42,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J205321.77+004706.80,313.3407,0.785222,5.92,Jiang2009,21.44,-25.23,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J205406.49-000514.80,313.52704,-0.087444,6.0389,Venemans2020,20.55,-26.15,6.013,0.002,Farina2022,3633,215,230,2.4,0.071845,0.060194,14.81,Farina2022
J210054.62-171522.50,315.22758,-17.256249,6.0807,Venemans2020,21.22,-25.49,6.093,0.008,Farina2022,8012,814,1466,0.93,0.019417,0.021359,44.85,Farina2022
J210219.23-145853.87,315.580112,-14.981629,6.6645,Yang2021,21.36,-25.5,6.652,0.003,Yang_2021_ApJ_923_262,3083,186,186,1.165049,0.097087,0.097087,7.43,Yang2021
J211812.73-000350.70,319.553042,-0.064083,5.46,McGreer2013,20.97,-25.57,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J211824.97-105557.43,319.60403,-10.93262,5.9,Banados2016,20,-26.67,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J211951.89-004020.10,319.9662,-0.67225,5.87,Jiang2016,21.93,-24.73,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J212328.88-242137.44,320.87033,-24.3604,5.73,Banados2016,20.46,-26.16,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J213110.29-435902.46,322.792863,-43.984017,6.45,Yang2019b,21.51,-25.3,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J213233.19+121755.26,323.138286,12.298682,6.5872,Venemans2020,19.78,-27.06,6.592,0.007,Mazzucchelli2017,3923,446,380,1.6,0.1,-1,14.1,Mazzucchelli2017
J214239.27-012000.30,325.663641,-1.333417,5.61,Yang2017,20.26,-26.33,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J214755.41+010755.30,326.98087,1.132028,5.81,Jiang2009,21.33,-25.31,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J215456.16-093027.46,328.733997,-9.507627,5.92,Banados2016,20.38,-26.29,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J220107.61+233837.95,330.281724,23.643874,5.83,Gloudemans2022,20.41,-26.24,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J220132.07+015529.00,330.383625,1.924722,6.16,Matsuoka2018a,23.77,-22.97,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J220417.92+011144.80,331.074667,1.195778,5.926,Kim2015,22.68,-23.99,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J220710.12-041656.28,331.792177,-4.2823,5.53,Wang2016,18.91,-27.65,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J221027.24+030428.50,332.6135,3.074583,6.9,Matsuoka2018b,22.47,-24.44,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J221100.60-632055.85,332.752502,-63.348846,6.8449,Yang2021,21.98,-24.92,6.83,0.01,Yang_2021_ApJ_923_262,2679,608,608,1.145631,0.038835,0.038835,5.57,Yang2021
J221112.39-320612.95,332.80163,-32.103597,6.3394,Decarli2018,18.78,-28,6.326,0.001,Farina2022,4666,196,156,5.82,0.112621,0.118447,38.05,Farina2022
J221305.26+003407.80,333.271917,0.568833,5.31,McGreer2018,22.57,-23.93,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J221556.63+260629.43,333.985969,26.108174,6.027,Shen2019,20.31,-26.39,6.0267,0.0072,Shen2019,3081.5,551.1,551.1,1.539439,0.014442,0.014442,8.54,Shen2019
J221604.36-050017.58,334.018158,-5.004885,6.15,Banados2022,21.07,-25.66,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J221644.47-001650.10,334.185292,-0.280583,6.0962,Izumi2018,22.9,-23.82,6.109,0.008,Onoue2019,4320,830,1060,0.266,0.005,0.005,6.97,Onoue2019
J221917.22+010248.90,334.82175,1.046917,6.1492,Willott2017,24.19,-22.54,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J222018.49-010146.89,335.07704,-1.029691,5.62,McGreer2013,20.66,-25.93,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J222309.51+032620.30,335.789625,3.438972,6.05,Matsuoka2018b,21.51,-25.2,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J222718.58-332335.02,336.82741,-33.393061,6.12,Banados2022,21.32,-25.41,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J222827.83+012809.50,337.115958,1.469306,6.01,Matsuoka2016,24.05,-22.65,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J222843.54+011032.20,337.18141,1.175611,5.95,Zeimann2011,22.2,-24.48,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J222847.71+015240.50,337.198792,1.877917,6.0805,Izumi2019,22.72,-23.99,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J222901.66+145708.30,337.256917,14.952306,6.1517,Willott2015,22.01,-24.72,6.152,0.003,Willott2010,1440,330,330,0.6,0.06,0.06,1.16,Willott2010
J223148.89-003547.50,337.953708,-0.596528,5.87,Matsuoka2018b,23.99,-22.67,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J223212.03+001238.40,338.050125,0.210667,6.18,Matsuoka2016,23.93,-22.81,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J223255.15+293032.24,338.229808,29.508955,6.666,Mazzucchelli2017,20.78,-26.08,6.655,0.003,Yang2021,5504,159,159,1.941748,0.330097,0.330097,30.58,Yang2021
J223644.58+003256.90,339.18575,0.549139,6.4,Matsuoka2016,23.05,-23.75,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J223947.47+020747.50,339.947792,2.129861,6.2497,Izumi2019,22.07,-24.69,6.245,0.008,Onoue2019,4670,910,700,0.444,0.008,0.008,10.53,Onoue2019
J224049.00-183943.81,340.20417,-18.66217,5.995,Banados2016,20.34,-26.35,5.995,0.001,Farina2022,2468,190,144,2.58,0.031068,0.029126,7.09,Farina2022
J224237.55+033421.60,340.65645,3.572667,5.88,Willott2010a,22.2,-24.46,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J225002.01-501542.16,342.50837,-50.26171,6,Reed2017,19.89,-26.8,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J225205.44+022531.90,343.022667,2.425528,6.12,Matsuoka2018b,23.99,-22.74,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J225209.17+040243.80,343.038208,4.0455,6.67,Matsuoka2022,22.84,-24.02,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J225520.78+050343.30,343.836583,5.062028,6.2,Matsuoka2019a,22.31,-24.44,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J225538.04+025126.60,343.9085,2.857389,6.34,Matsuoka2018b,22.91,-23.87,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J225634.63-024559.18,344.144296,-2.76644,6.45,BanadosInPrep,20.86,-25.95,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J230422.97+004505.40,346.095708,0.7515,6.36,Matsuoka2018b,22.51,-24.28,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J230610.54-012458.40,346.543917,-1.416222,5.89,Matsuoka2022,22.74,-23.92,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J230735.35+003149.40,346.89729,0.530389,5.96,Shen2019,21.44,-25.24,5.9555,0.0143,Shen2019,2362.8,962.3,962.3,1.247615,0.007892,0.007892,4.52,Shen2019
J231038.88+185519.70,347.662,18.922138,6.0031,Wang2013,18.95,-27.74,5.996,0.002,Farina2022,3312,238,213,7.6,0.091262,0.085437,21.91,Farina2022
J231507.41-285617.43,348.78089,-28.938175,5.89,Banados2022,21.31,-25.35,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J231546.57-002358.10,348.94404,-0.399472,6.12,Jiang2008,21.12,-25.61,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J231738.25+224409.63,349.409382,22.736009,5.5,Yang2019a,19.17,-27.38,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J231802.80-024634.00,349.51166,-2.776111,6.05,Willott2009,21.66,-25.05,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J231818.35-311346.34,349.57647,-31.229539,6.4429,Venemans2020,20.75,-26.06,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J231833.10-302933.36,349.63793,-30.4926,6.1456,Venemans2020,20.34,-26.39,6.141,0.002,Farina2022,3460,177,160,2.82,0.038835,0.040777,14.56,Farina2022
J232514.24+262847.60,351.309333,26.479889,5.77,Wang2016,19.41,-27.22,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J232713.22+000547.92,351.805083,0.096644,5.591,Shin2022,22.13,-24.45,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J232726.89+245410.93,351.862048,24.903036,5.3,Gloudemans2022,20.42,-26.07,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J232908.28-030158.80,352.2845,-3.033,6.4164,Willott2017,21.61,-25.19,6.417,0.002,Willott2010,2020,110,110,0.71,0.08,0.08,2.49,Willott2010
J232914.46-040324.10,352.31025,-4.056694,5.9,Willott2009,22.07,-24.6,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J232936.84-152014.46,352.403485,-15.33735,5.832,Rojas2021,21.05,-25.6,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J233008.71+095743.70,352.536292,9.962139,5.3,Yang2017,19.81,-26.68,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J233429.70+050217.00,353.62375,5.038056,6.12,Matsuoka2022,21.58,-25.15,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J233624.69+184248.71,354.102895,18.713531,6.6,Gloudemans2022,22.53,-24.31,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J233807.03+214358.18,354.529301,21.732827,6.565,Yang2021,21.18,-25.66,6.565,0.009,Yang2021,2516,113,113,1.475728,0.252427,0.252427,5.57,Yang2021
J234833.34-305410.24,357.1389,-30.902844,6.9007,Venemans2020,21.17,-25.74,6.883,0.009,Farina2022,5182,843,811,1.46,0.038835,0.036893,23.51,Farina2022
J234836.96-003437.00,357.154,-0.576944,5.94,Matsuoka2022,22.63,-24.05,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J234901.28+005640.90,357.255333,0.944694,5.92,Matsuoka2022,22.88,-23.79,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J235118.96+062406.96,357.828983,6.401932,5.81,Banados2016,21.41,-25.23,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J235632.45-062259.26,359.135215,-6.383126,6.1722,Eilers2020erratum,20,-26.74,6.151,0.005,Farina2022,2803,174,184,3.89,0.038835,0.040777,11.23,Farina2022
J235646.33+001747.30,359.193042,0.296472,7.01,Matsuoka2019a,21.63,-25.31,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J235651.58+002333.30,359.21491,0.392583,5.98,Shen2019,22.19,-24.5,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J235824.04+063437.40,359.600167,6.577056,5.32,Yang2017,19.31,-27.19,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
