Quasar,ra,dec,redshift,redshift_reference,m1450,Mabs1450,redshift_mgii,redshift_mgii_err,redshift_mgii_ref,fwhm_mgii,fwhm_mgii_err_up,fwhm_mgii_err_low,L3000,L3000err_up,L3000err_low,BHmass,BHmass_reference
J034141.86-004812.74,55.424404,-0.80354,5.68,Banados2015,20.29,-26.32,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J034652.04-162836.88,56.71685,-16.47691,5.9676,Eilers2020,20.03,-26.65,5.975,0.001,Farina2022,3049,121,118,2.06,0.021359,0.021359,9.67,Farina2022
J035349.72+010404.40,58.457166,1.067889,6.057,Shen2019,20.34,-26.37,6.0574,0.0052,Shen2019,3229.8,300.8,300.8,2.481896,0.010536,0.010536,11.91,Shen2019
J040212.70+245124.43,60.552902,24.856785,6.17,Shen2019,19.85,-26.89,6.1697,0.0056,Shen2019,3250.2,328.7,328.7,2.734853,0.0123,0.0123,12.66,Shen2019
J040819.23-563228.82,62.08012,-56.54134,6.03,Reed2017,20.19,-26.51,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J041003.23-441440.70,62.51345,-44.24464,6.21,Reed2017,20.61,-26.14,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J041128.63-090749.70,62.869283,-9.130473,6.826,Yang2021,20.28,-26.62,6.827,0.006,Yang2021,2729,96,96,3.087379,0.194175,0.194175,9.48,Yang2021
J042011.34-445323.75,65.04727,-44.88993,6.07,Reed2017,20.46,-26.25,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J042138.05-265715.61,65.408537,-26.954335,6.1871,Venemans2020,19.53,-27.21,6.144,0.003,Farina2022,5558,352,303,4.21,0.08932,0.087379,45.92,Farina2022
J042201.00-192728.69,65.504147,-19.457969,6.1247,Decarli2018,20.16,-26.57,6.112,0.001,Farina2022,3861,109,103,3.72,0.073786,0.075728,20.83,Farina2022
J042350.15+014324.79,65.958954,1.723553,5.79,Banados2022,20.08,-26.56,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J043947.09+163415.77,69.946188,16.571047,6.5188,Yang2019c,17.47,-29.35,6.519,0.003,Yang2021,3030,65,65,0.893204,0.019417,0.019417,6.29,Yang2021
J044407.73-043333.07,71.032214,-4.559187,5.89,Banados2016,20.12,-26.54,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J044548.18-021959.84,71.45075,-2.33329,5.69,Banados2016,19.13,-27.48,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J045019.81-075330.61,72.582533,-7.891836,5.75,Banados2022,20.97,-25.66,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J045401.79-444831.10,73.50744,-44.80864,6.0581,Decarli2018,20.36,-26.35,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J050344.56-073022.07,75.93566,-7.50613,5.88,Banados2016,20.1,-26.56,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J050456.27-105316.11,76.234459,-10.887802,5.93,Banados2022,20.55,-26.12,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J052559.67-240622.98,81.498646,-24.106383,6.5397,Yang2021,21.4,-25.43,6.543,0.002,Yang2021,1877,345,345,1.320388,0.679612,0.679612,2.93,Yang2021
J053520.90+115053.64,83.837066,11.848235,6.3401,Andika2020,20.11,-26.67,6.346,0.001,Andika2020,4140,880,430,2.58,0.019,0.06,19.94,Andika2020
J055945.47-153500.20,89.939445,-15.583389,6.05,Banados2016,19.83,-26.88,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J061624.38-133806.40,94.101574,-13.63511,5.58,Yang2019a,19.52,-27.06,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J070626.39+292105.50,106.609958,29.351528,6.6037,Yang2021,19.33,-27.52,6.5925,0.0004,Yang2021,3372,106,106,6.582525,0.291262,0.291262,21.13,Yang2021
J071346.31+085532.65,108.442942,8.925737,5.92,Banados2016,19.14,-27.53,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J075622.37+021820.17,119.093203,2.305602,5.73,Banados2022,20.42,-26.2,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J075745.90-000201.09,119.441232,-0.033637,5.54,Yang2019a,19.93,-26.64,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J080305.43+313834.19,120.772623,31.642831,6.384,Wang2019b,20.28,-26.51,6.384,0.004,Yang2021,3460,173,173,2.601942,0.213592,0.213592,13.99,Yang2021
J081054.32+510540.05,122.726317,51.094458,5.82,Banados2016,19.88,-26.76,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J081600.78+125956.20,124.003267,12.998944,5.8,Banados2022,21.05,-25.59,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J081827.40+172251.80,124.61416,17.381055,6.02,Carilli2010,19.24,-27.46,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J082450.76-674241.33,126.211492,-67.71148,5.41,Onken2022,18.68,-27.85,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J082813.42+263355.57,127.0559,26.565437,6.14,Banados2022,20.52,-26.21,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J082907.62+030356.56,127.28174,3.06571,5.85,Banados2016,20.68,-25.97,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J082931.97+411740.40,127.383208,41.294556,6.773,Wang2019b,20.52,-26.36,6.773,0.007,Yang2021,2488,107,107,2.485437,0.23301,0.23301,7.07,Yang2021
J082933.10+250645.60,127.387917,25.112667,5.35,Yang2017,19.6,-26.91,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J083400.88+021146.90,128.503667,2.196361,6.15,Matsuoka2018b,22.68,-24.05,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J083525.76+321752.62,128.857325,32.29795,5.89,Jiang2016,20.9,-25.76,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J083643.85+005453.30,129.1827,0.914806,5.81,Kurk2007,18.95,-27.69,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J083737.83+492900.60,129.407625,49.4835,6.702,Yang2021,20.24,-26.63,6.702,0.001,Yang2021,2577,36,36,2.815534,0.07767,0.07767,8.07,Yang2021
J083946.88+390011.44,129.945333,39.003178,6.905,Wang2019b,20.63,-26.29,6.9046,0.0003,Yang2021,2233,21,21,3.456311,0.135922,0.135922,6.72,Yang2021
J083955.36+001554.21,129.98065,0.265058,5.84,Venemans2015b,21.34,-25.31,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J084035.09+562419.90,130.1462,56.405527,5.8441,Wang2010,19.46,-27.19,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J084119.52+290504.42,130.33133,29.08456,5.954,Shen2019,20.24,-26.44,5.9535,0.0052,Shen2019,3073.9,783.6,783.6,2.10928,0.010608,0.010608,9.94,Shen2019
J084229.43+121850.50,130.622625,12.314028,6.0754,Venmans2020,19.86,-26.85,6.063,0.002,Farina2022,3422,153,135,3.76,0.038835,0.038835,16.45,Farina2022
J084303.76+291113.40,130.765667,29.187056,6.15,Wang2019b,20.94,-25.79,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J084408.61-013216.50,131.035875,-1.537917,6.18,Matsuoka2018b,22.77,-23.97,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J084422.57+042353.70,131.094042,4.39825,6.21,Matsuoka2022,23.2,-23.55,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J084431.60-005254.60,131.131667,-0.881833,6.25,Matsuoka2018a,23.02,-23.74,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J084456.62+022640.50,131.235917,2.444583,6.4,Matsuoka2019a,25.23,-21.57,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J085028.16-050606.90,132.617333,-5.101917,5.357,Kim2019,22.61,-23.9,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J085048.25+324647.90,132.701042,32.779972,5.87,Jiang2015,19.98,-26.68,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J085348.84+013911.00,133.4535,1.653056,6.01,Matsuoka2018a,24.19,-22.51,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J085738.53+005612.70,134.410542,0.936861,6.35,Matsuoka2018a,23.77,-23.01,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J085813.51+000057.10,134.556292,0.015861,5.99,Matsuoka2018b,21.41,-25.28,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J085907.19+002255.90,134.779958,0.382194,6.3903,Izumi2018,22.7,-24.09,6.388,0.002,Onoue2019,1280,240,410,0.103,0.01,0.01,0.38,Onoue2019
J090132.65+161506.84,135.38604,16.251899,5.63,Banados2015,20.74,-25.85,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J090254.87+015510.90,135.728625,1.919694,6.01,Matsuoka2018a,24.19,-22.51,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J090314.68+021128.30,135.811167,2.191194,5.92,Matsuoka2018a,23.47,-23.2,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J090328.91-135001.27,135.870457,-13.833686,5.91,Banados2016,20.86,-25.81,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J090544.65+030058.80,136.436042,3.016333,6.27,Matsuoka2018a,24.21,-22.55,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J090630.80+693031.00,136.628333,69.508611,5.47,Romani2004,19.67,-26.87,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J090921.50+044042.90,137.339583,4.678583,6.15,Matsuoka2018b,21.85,-24.88,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J091013.65+165630.18,137.556879,16.941717,6.7289,Yang2021,21.3,-25.57,6.719,0.005,Yang2021,2358,28,28,1.029126,0.116505,0.116505,4.09,Yang2021
J091041.14+005646.30,137.671417,0.946194,6.65,Matsuoka2022,22.31,-24.55,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J091054.53-041406.80,137.727208,-4.235222,6.6363,Yang2021,20.49,-26.36,6.61,0.003,Yang2021,5396,544,544,2.912621,0.213592,0.213592,36,Yang2021
J091114.27+015219.40,137.809458,1.872056,6.07,Matsuoka2018a,24.62,-22.09,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J091121.61+005146.10,137.840042,0.862806,5.94,Matsuoka2022,23.51,-23.17,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J091207.64+665846.95,138.031823,66.979707,5.62,Gloudemans2022,20.16,-26.43,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J091828.65+194045.00,139.619375,19.679167,5.92,Wang2019b,20.76,-25.91,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J091833.17+013923.30,139.638208,1.656472,6.19,Matsuoka2018b,23.03,-23.71,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J091906.33+051235.30,139.776375,5.209806,6.62,Matsuoka2022,22.87,-23.98,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J092120.56+000722.90,140.335667,0.123028,6.5646,Yang2021,22.05,-24.79,6.5654,0.0002,Yang2021,1813,14,14,1.184466,0.116505,0.116505,2.59,Yang2021
J092347.12+040254.40,140.946333,4.048444,6.633,Yang2021,20.67,-26.18,6.612,0.002,Yang2021,3454,109,109,4.213592,0.582524,0.582524,17.74,Yang2021
J092359.00+075349.11,140.995821,7.896974,6.6817,Yang2021,21.36,-25.5,6.682,0.002,Yang2021,2640,682,682,0.951456,0.38835,0.38835,4.92,Yang2021
J092721.82+200123.70,141.84091,20.023249,5.7722,Carilli2007,19.93,-26.7,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J092935.77-112137.61,142.399025,-11.360447,5.61,Banados2022,20.6,-25.99,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J093000.85+005738.40,142.503542,0.960667,5.92,Matsuoka2019a,21.76,-24.91,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J093523.31-020754.40,143.847125,-2.131778,5.32,Yang2017,20.33,-26.17,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J093543.32-011033.30,143.9305,-1.175917,6.08,Matsuoka2019a,24.75,-21.96,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J093551.64+034847.20,143.965167,3.813111,6.16,Matsuoka2022,22.21,-24.53,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J093830.24+015405.80,144.626,1.901611,6.31,Matsuoka2022,23.86,-22.91,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J094713.88+034939.80,146.807833,3.827722,6.25,Matsuoka2022,23.99,-22.77,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J095139.01+021952.00,147.912542,2.331111,6.12,Matsuoka2022,25.2,-21.53,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J095355.90+691052.62,148.482937,69.181284,5.84,Banados2022,20.19,-26.46,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J095740.39+005333.60,149.418292,0.892667,6.05,Matsuoka2018b,23.72,-22.99,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J100051.59+023457.63,150.21497,2.582674,5.3,Masters2012,23.76,-22.73,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J100401.36+023930.70,151.005667,2.658528,6.41,Matsuoka2018b,22.28,-24.52,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J100614.61-031030.49,151.560878,-3.175137,5.55,Yang2017,19.67,-26.9,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J100716.49-161107.97,151.818693,-16.185546,5.84,Banados2022,21.45,-25.2,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J100758.27+211529.21,151.992773,21.258113,7.5149,Yang2020,20.43,-26.62,7.48,0.01,Yang2021,3152,168,168,3.961165,0.252427,0.252427,14.32,Yang2021
J101505.59+000223.00,153.773292,0.039722,5.95,Matsuoka2022,22.55,-24.13,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J101637.71+254131.99,154.157107,25.692218,5.64,Yang2017,18.86,-27.73,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J102047.40+042946.70,155.1975,4.496306,6.18,Matsuoka2022,21.38,-25.36,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J102201.91+080122.27,155.507954,8.022852,5.3,Yang2017,18.93,-27.56,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J102210.04+225225.35,155.541841,22.873708,5.47,Lyke2020,19.38,-27.16,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J102232.14+023041.90,155.633917,2.511639,5.89,Matsuoka2022,22.57,-24.09,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J102314.45-004447.90,155.810208,-0.746639,6.63,Matsuoka2022,22.38,-24.47,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J102547.19+385726.37,156.446617,38.957326,5.75,Banados2022,19.85,-26.78,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J102841.66+001755.90,157.173583,0.298861,6.1,Matsuoka2022,21.78,-24.94,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
J103027.10+052455.00,157.61291,5.415278,6.303,Farina2022,19.84,-26.93,6.303,0.002,Farina2022,3511,209,192,4.65,0.071845,0.069903,19.26,Farina2022
J103137.69-023935.67,157.907036,-2.659907,5.88,Banados2016,20.28,-26.38,nan,nan,--,nan,nan,nan,nan,nan,nan,nan,--
